flow_duration_ms,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,packet_length_mean,packet_length_std,iat_mean_ms,iat_std_ms,fwd_bwd_byte_ratio,active_flows_count,unique_dst_ports,ttl_mean,ttl_variance,tcp_win_mean,tcp_win_min,flag_syn_ratio,flag_ack_ratio,flag_fin_ratio,flag_rst_ratio,fragment_flag_count,retransmission_count,infil_label,stage_label
-0.31374186,-0.40326685,-0.40326682,-0.27360594,-0.2736059,-0.36058232,-0.2413195,41.5429,-0.48598638,0.0,-0.6571429,-0.61538464,-0.30463117,0.0,-0.86632615,0.9079602,-0.49326378,-0.3255606,0.27928072,-0.15584415,0.0,-0.1,0.0,0
-0.33828703,-0.40326685,-0.40326682,-0.27362743,-0.27362743,-0.37876296,-0.2413195,27.850744,-0.48598638,0.0,-0.6571429,-0.61538464,0.6282755,-0.3834151,0.64751434,10.188899,-0.6556349,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,0.0,0
-0.3316998,-0.40380237,-0.4038024,-0.2737791,-0.27377906,-0.36058232,-0.2413195,47.377907,-0.48598638,0.0,-0.6571429,-0.61538464,-0.2853076,-0.0051402557,-0.8018195,0.9079602,-0.55476797,0.34566507,-0.025597274,-0.15584415,0.0,-0.3,0.0,0
-0.3468066,-0.40380237,-0.4038024,-0.2737791,-0.27377906,-0.36058232,-0.2413195,34.737263,-0.48598638,0.0,-0.6571429,-0.61538464,-0.2647502,0.21059428,-0.12678114,0.0,0.12298688,0.14181139,1.0182624,0.7117794,0.0,1.0,0.0,0
10.06445,393.54828,393.54825,647.1241,647.1241,1.4333225,407.28488,-0.15599976,1.3651532,0.0,1.5785714,4.269231,1.0652065,-0.99928945,0.58242214,9.987562,0.4539011,-0.26589608,-0.5255973,-0.15584415,0.0,-0.4,0.0,0
9.028602,43.81898,43.818985,37.890003,37.890003,0.37282315,44.67613,0.011067304,1.4055701,0.0,1.2071428,4.230769,1.0652065,-0.99928945,0.58242214,9.987562,1.5634372,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,0.0,0
8.164247,14.10952,14.109519,4.955727,4.955727,-0.3102758,2.1277757,0.34833997,1.4750092,0.0,1.0428572,2.7692308,1.0652065,-0.99928945,0.58242214,9.987562,1.5634372,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,0.0,0
7.5520186,16.039095,16.039095,5.966405,5.966405,-0.2842093,2.8488045,0.25300106,1.4309995,0.0,0.8857143,2.3076923,-0.30463117,0.0,-0.86632615,0.9079602,-0.49326378,-0.3255606,0.27928072,-0.15584415,0.0,-0.1,0.0,0
7.0755305,9.871201,9.8712015,3.282718,3.2827177,-0.32956418,1.6286424,0.47120702,1.3863897,0.0,0.85,2.8076923,1.0652065,-0.99928945,0.58242214,9.987562,1.5634372,-1.4890183,-0.5255973,-0.15584415,0.0,-0.4,0.0,0
6.587549,11.266301,11.266301,5.027704,5.027704,-0.18260582,2.339618,0.35591954,1.3722564,0.0,0.99285716,2.3846154,-0.30463117,0.0,-0.86632615,0.9079602,-0.49326378,-0.3255606,0.27928072,-0.15584415,0.0,-0.1,0.0,0
6.160287,6.8635693,6.8635693,2.9327857,2.9327855,-0.20034988,2.5474026,0.6277263,1.3718055,0.0,0.62142855,2.7307692,1.0652065,-0.99928945,0.58242214,9.987562,-0.6556349,0.9572262,-0.5255973,-0.15584415,0.0,-0.4,0.0,0
5.322412,6.888204,6.888205,3.3486059,3.3486059,-0.124891765,3.158262,0.52203304,1.3972305,0.0,0.55,2.0384614,-3.5771859,-0.99928945,-2.6465526,0.0,-0.6556349,-1.4890183,-0.5255973,12.207791,0.0,-0.4,0.0,0
